Sn No,name,company,type,,ABV,rank,Review,ratings,lng,lat,Address
130,A Deal With The Devil,Anchorage Brewing Company,American Barleywine , 17.30% ABV,,4.43,129,969,-149.882211,61.138483,"148 w 91st st, anchorage, ak 99515, usa"
131,Rare Scooop,Peg's Cantina & Brew Pub,American Double , Imperial Stout,,4.43,23,107,-82.7074885,27.7394596,"3038 beach blvd s, gulfport, fl 33707, usa"
132,Cantillon Saint Lamvinus,Brasserie Cantillon,Lambic - Fruit , 5.00% ABV,,4.43,475,"2,021",4.335646,50.8415336,"rue gheude 56, 1070 anderlecht, belgium"
133,Prairie Apple Brandy Noir,Prairie Artisan Ales,American Double , Imperial Stout ,,4.43,195,"1,456",-95.7252857,34.9292413,"120 n 8th st w, krebs, ok 74554, usa"
134,Alexander,Brouwerij Rodenbach N.V.,Flanders Red Ale , 5.00% ABV,,4.42,147,490,4.2689879,50.9964288,"steenhuffeldorp 3, 1840 steenhuffel, belgium"
135,Maple Bacon Coffee Porter,Funky Buddha Brewery,American Porter , 6.40% ABV,,4.42,246,"1,768",-80.1312729,26.1744468,"1201 ne 38th st, oakland park, fl 33334, usa"
136,Last Snow,Funky Buddha Brewery,American Porter , 6.40% ABV,,4.42,235,"1,734",-80.1312729,26.1744468,"1201 ne 38th st, oakland park, fl 33334, usa"
137,Curiosity Twenty Seven,Tree House Brewing Company,American Double , Imperial IPA ,,4.42,23,131,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
138,Mexican Brunch,Kane Brewing Company,American Porter , 9.20% ABV,,4.42,29,242,-74.0450475,40.2365892,"1750 bloomsbury ave, ocean township, nj 07712, usa"
139,Drie Fonteinen Framboos,Brouwerij Drie Fonteinen,Lambic - Fruit , 5.00% ABV,,4.42,110,656,4.3083539,50.7666484,"hoogstraat 2, 1650 beersel, belgium"
140,Saison Bernice,Sante Adairius Rustic Ales,Saison , Farmhouse Ale ,,4.42,82,847,-121.9496012,36.9832373,"103 kennedy dr, capitola, ca 95010, usa"
141,No Rules,Perrin Brewery,American Porter , 15.00% ABV,,4.42,209,"1,038",-85.6814191,43.0713315,"5910 comstock park dr nw, comstock park, mi 49321, usa"
142,Coriolis,New England Brewing Co.,American Double , Imperial IPA ,,4.42,72,585,-72.9808501,41.339609,"175 amity rd, woodbridge, ct 06525, usa"
143,St. Bernardus Abt 12,Brouwerij St. Bernardus NV,Quadrupel (Quad) , 10.00% ABV,,4.42,"2,764","9,397",2.6395834,50.8415183,"trappistenweg 23, 8978 watou, belgium"
144,Cantillon Lou Pepe - Framboise,Brasserie Cantillon,Lambic - Fruit , 5.00% ABV,,4.42,293,"1,261",4.335646,50.8415336,"rue gheude 56, 1070 anderlecht, belgium"
145,Columbus Bodhi DIPA,Columbus Brewing Company,American Double , Imperial IPA ,,4.42,195,"1,456",-83.0692733,39.9674128,"2555 harrison rd, columbus, oh 43204, usa"
146,French Vanilla Militia,3 Floyds Brewing Co.,Russian Imperial Stout,,,4.42,25,124,-87.5168114,41.5355252,"9750 indiana pkwy, munster, in 46321, usa"
147,Afterimage,Grimm Artisanal Ales,American Double , Imperial IPA ,,4.42,78,434,-105.046949,40.396763,"623 denver ave, loveland, co 80537, usa"
148,Pugachev Royale,Hangar 24 Brewery,Russian Imperial Stout , 14.80% ABV,,4.42,27,199,-117.1418175,34.0831152,"1710 sessums dr, redlands, ca 92374, usa"
149,Orange Starfish,Aslin Beer Company,American IPA , 5.70% ABV,,4.41,32,141,-77.3749276,38.9564316,"257 sunset park dr, herndon, va 20170, usa"
150,Hop JuJu Imperial IPA,Fat Head's Brewery & Saloon,American Double , Imperial IPA ,,4.41,250,"2,018",-81.8941988,41.4264256,"24581 lorain rd, north olmsted, oh 44070, usa"
151,Temptation,Russian River Brewing Company,American Wild Ale , 7.50% ABV,,4.41,"1,026","3,644",-122.711642,38.441804,"725 4th st, santa rosa, ca 95404, usa"
152,Dragon Fruit Passion Fruit Berliner,J. Wakefield Brewing,Berliner Weissbier , 3.50% ABV,,4.41,45,298,-80.1975165,25.7995427,"120 nw 24th st, miami, fl 33127, usa"
153,Darkness,Surly Brewing Company,Russian Imperial Stout , 10.30% ABV,,4.41,871,"3,758",-93.2098129,44.9732558,"520 malcolm ave se, minneapolis, mn 55414, usa"
154,Oro Negro,Jackie O's Pub & Brewery,American Double , Imperial Stout ,,4.41,114,691,-82.1023006,39.3277484,"22-24 w union st, athens, oh 45701, usa"
155,Triple Shot,Tree House Brewing Company,American Double , Imperial Stout ,,4.41,30,259,-72.2882333,42.0929308,"160 e hill rd, monson, ma 01057, usa"
156,Chocolate Rain,The Bruery,American Double , Imperial Stout ,,4.41,334,"2,626",-117.8791487,33.8623664,"717 dunn way, placentia, ca 92870, usa"
157,Peg's G.O.O.D. RareR D.O.S.,Peg's Cantina & Brew Pub,American Double , Imperial Stout ,,4.41,110,744,-82.7074885,27.7394596,"3038 beach blvd s, gulfport, fl 33707, usa"
158,Bad Boy,Alpine Beer Company,American Double , Imperial IPA ,,4.41,129,549,-116.7626535,32.8351644,"2363 alpine blvd, alpine, ca 91901, usa"
